Subject,Event,Session,S2_Condition,Valence,Arousal,Detail,Regret,Control,Own_Eyes_P,Observer_P
4,Event #009,3,Worse,2,5,7,6,3,7,1
4,Event #010,1,Better,3,2,7,7,5,7,1
4,Event #010,3,Better,3,2,7,3,5,7,1
4,Event #011,1,Worse,3,3,7,4,5,7,1
4,Event #011,3,Worse,5,4,6,3,3,7,1
4,Event #012,1,Worse,3,5,6,3,4,7,1
4,Event #012,3,Worse,2,5,5,6,4,7,2
4,Event #013,1,Remember,4,3,7,6,7,7,1
4,Event #013,3,Remember,4,5,6,5,7,6,2
4,Event #014,1,Baseline,3,5,7,7,5,7,1
4,Event #014,3,Baseline,3,6,7,6,3,7,1
4,Event #015,1,Remember,3,2,7,2,1,7,1
4,Event #015,3,Remember,2,3,6,5,1,7,1
4,Event #016,1,Remember,2,5,6,1,1,7,1
4,Event #016,3,Remember,1,7,7,5,1,7,1
4,Event #017,1,Better,1,7,7,1,1,7,1
4,Event #017,3,Better,1,7,7,6,1,7,1
4,Event #018,1,Worse,3,4,5,6,7,7,1
4,Event #018,3,Worse,2,6,6,7,7,6,3
4,Event #019,1,Worse,2,6,7,7,7,7,1
4,Event #019,3,Worse,1,5,7,7,7,7,1
4,Event #020,1,Remember,2,5,7,6,7,7,1
4,Event #020,3,Remember,1,6,7,7,7,7,1
4,Event #021,1,Remember,3,3,5,4,2,7,1
4,Event #021,3,Remember,3,5,7,5,3,7,1
4,Event #022,1,Better,2,3,6,6,6,7,1
4,Event #022,3,Better,2,6,3,6,6,5,4
4,Event #023,1,Remember,3,2,5,4,2,7,1
4,Event #023,3,Remember,2,2,6,3,3,7,1
4,Event #024,1,Worse,4,1,6,7,7,7,1
4,Event #024,3,Worse,7,3,7,4,7,7,1
4,Event #025,1,Worse,3,5,6,6,7,7,1
4,Event #025,3,Worse,2,5,7,6,7,7,1
4,Event #026,1,Baseline,2,5,5,1,7,7,1
4,Event #026,3,Baseline,7,5,6,5,6,7,1
4,Event #027,1,Baseline,2,4,6,3,2,7,1
4,Event #027,3,Baseline,2,3,4,5,2,7,1
4,Event #028,1,Remember,2,3,3,4,3,5,3
4,Event #028,3,Remember,3,6,3,4,2,7,1
4,Event #029,1,Observer,2,5,6,5,7,7,1
4,Event #029,3,Observer,3,6,7,5,6,7,1
4,Event #030,1,Observer,3,3,6,5,5,7,1
4,Event #030,3,Observer,3,5,6,5,5,7,1
4,Event #031,1,Remember,2,3,6,6,3,6,3
4,Event #031,3,Remember,5,5,4,2,5,4,4
4,Event #032,1,Remember,4,1,7,2,1,7,1
4,Event #032,3,Remember,7,3,7,1,1,7,1
4,Event #033,1,Worse,4,1,7,1,1,7,1
4,Event #033,3,Worse,3,1,6,1,2,7,1
4,Event #034,1,Worse,2,5,5,5,3,6,2
4,Event #034,3,Worse,2,6,6,5,3,7,1
4,Event #035,1,Observer,3,2,7,6,7,7,1
4,Event #035,3,Observer,5,1,3,2,4,7,1
4,Event #036,1,Better,3,4,5,5,5,7,1
4,Event #036,3,Better,6,5,6,2,6,7,1
4,Event #037,1,Baseline,1,7,6,5,4,7,4
4,Event #037,3,Baseline,3,7,7,2,4,7,1
4,Event #038,1,Observer,3,1,7,7,7,7,1
4,Event #038,3,Observer,3,2,7,2,6,7,1
4,Event #039,1,Remember,4,2,7,7,7,7,1
4,Event #039,3,Remember,7,5,6,3,4,7,1
