Subject	Event	Session	S2_Condition	Arousal	Detail
7	Event #046	2	Worse	3	4
7	Event #047	2	Worse	3	5
7	Event #048	2	Remember	2	
7	Event #049	2	Worse	2	5
7	Event #050	2	Better	4	4
7	Event #051	2	Remember	7	6
7	Event #053	2	Better	3	6
7	Event #054	2	Better	2	3
7	Event #056	2	Worse	2	5
7	Event #057	2	Remember	1	4
7	Event #058	2	Better	3	4
7	Event #060	2	Remember	3	5
7	Event #061	2	Observer	1	5
7	Event #063	2	Remember	4	4
7	Event #066	2	Better	3	4
7	Event #068	2	Worse	3	4
7	Event #069	2	Worse	2	
7	Event #070	2	Remember	2	4
7	Event #071	2	Worse	2	2
7	Event #073	2	Remember	3	5
7	Event #074	2	Remember	2	5
7	Event #075	2	Better	3	5
7	Event #077	2	Observer		6
7	Event #078	2	Remember	1	4
7	Event #079	2	Observer	2	4
7	Event #080	2	Better	1	5
7	Event #081	2	Worse	2	4
7	Event #082	2	Better	2	6
7	Event #083	2	Remember	5	5
7	Event #084	2	Remember		5
7	Event #086	2	Remember	3	4
7	Event #087	2	Better	2	4
7	Event #088	2	Observer	3	3
7	Event #089	2	Remember	2	3
7	Event #090	2	Worse	3	3
7	Event #091	2	Observer	2	4
7	Event #092	2	Observer	2	5
7	Event #093	2	Worse	2	5
7	Event #095	2	Worse	3	4
7	Event #096	2	Better	2	3
7	Event #098	2	Worse	2	4
7	Event #099	2	Better	6	5
7	Event #100	2	Better	1	1
7	Event #101	2	Worse	5	6
7	Event #102	2	Worse	2	3
7	Event #104	2	Worse	3	4
7	Event #105	2	Observer	1	3
7	Event #106	2	Observer	2	2
7	Event #107	2	Observer	6	5
7	Event #109	2	Better	2	4
7	Event #111	2	Better	1	4
7	Event #112	2	Remember	5	6
7	Event #114	2	Better	2	4
7	Event #115	2	Remember	4	4
7	Event #116	2	Worse	2	5
7	Event #119	2	Worse	3	4
7	Event #120	2	Remember	3	5
9	Event #003	2	Worse	6	7
9	Event #005	2	Observer	5	5
9	Event #006	2	Worse	7	6
9	Event #007	2	Better	5	5
9	Event #008	2	Observer	7	5
9	Event #011	2	Worse	7	7
9	Event #014	2	Observer	2	2
9	Event #015	2	Remember	6	7
9	Event #016	2	Worse	6	4
9	Event #017	2	Better	3	5
9	Event #019	2	Remember	5	5
9	Event #021	2	Remember	2	4
9	Event #022	2	Worse	2	5
9	Event #025	2	Remember	2	5
9	Event #026	2	Remember	4	6
9	Event #027	2	Remember	4	7
9	Event #028	2	Better	5	3
9	Event #029	2	Remember	1	6
9	Event #030	2	Worse	2	4
9	Event #031	2	Remember	5	7
9	Event #032	2	Worse	6	6
9	Event #033	2	Better	4	5
9	Event #034	2	Worse	4	6
9	Event #035	2	Worse	3	5
9	Event #037	2	Remember	2	4
9	Event #038	2	Better	2	5
9	Event #040	2	Worse	6	5
9	Event #041	2	Better	3	5
9	Event #042	2	Better	5	3
9	Event #043	2	Remember	6	7
9	Event #044	2	Remember	1	5
9	Event #045	2	Worse	7	6
9	Event #046	2	Observer	2	4
9	Event #047	2	Observer	5	7
9	Event #048	2	Observer	6	7
9	Event #049	2	Remember	4	
9	Event #050	2	Remember	5	4
9	Event #051	2	Better	1	5
9	Event #052	2	Remember	5	6
9	Event #053	2	Remember	2	5
9	Event #054	2	Worse	5	3
9	Event #055	2	Worse	1	4
9	Event #056	2	Observer	4	5
9	Event #058	2	Better	4	6
9	Event #059	2	Observer	2	4
9	Event #060	2	Better		4
9	Event #061	2	Remember	3	6
9	Event #062	2	Better	5	6
9	Event #063	2	Observer	3	4
9	Event #064	2	Remember	3	3
9	Event #067	2	Observer	5	4
9	Event #068	2	Worse	4	3
9	Event #069	2	Worse	6	7
9	Event #070	2	Better	4	5
9	Event #072	2	Better	1	5
9	Event #073	2	Remember	5	5
9	Event #074	2	Better	3	5
9	Event #076	2	Better	6	7
9	Event #077	2	Better	2	2
9	Event #078	2	Better	3	6
9	Event #079	2	Observer	1	5
9	Event #080	2	Observer		4
9	Event #081	2	Better	5	4
9	Event #083	2	Observer	5	4
9	Event #084	2	Observer	1	5
9	Event #086	2	Better	4	3
9	Event #087	2	Remember	3	4
9	Event #088	2	Remember	3	6
9	Event #089	2	Better	2	3
9	Event #090	2	Observer	4	3
9	Event #091	2	Worse	5	4
9	Event #092	2	Worse	2	4
9	Event #093	2	Observer	6	7
9	Event #094	2	Remember	6	3
9	Event #096	2	Worse	6	6
9	Event #097	2	Observer	2	2
9	Event #098	2	Observer	4	3
9	Event #099	2	Worse	1	7
9	Event #100	2	Better	3	
9	Event #101	2	Worse	2	5
9	Event #102	2	Remember	5	1
9	Event #103	2	Better	5	5
9	Event #104	2	Observer	3	6
9	Event #105	2	Worse	7	7
9	Event #106	2	Observer	2	4
9	Event #107	2	Better	3	4
9	Event #108	2	Observer	6	4
9	Event #109	2	Remember	4	5
9	Event #110	2	Remember	3	6
9	Event #111	2	Observer	7	7
9	Event #112	2	Worse	7	7
9	Event #113	2	Better	5	7
9	Event #115	2	Worse	3	3
9	Event #117	2	Observer	5	5
9	Event #119	2	Worse	4	6
9	Event #120	2	Observer	5	6
10	Event #003	2	Worse	4	7
10	Event #005	2	Observer	2	5
10	Event #006	2	Worse	3	6
10	Event #007	2	Better	3	5
10	Event #008	2	Observer	2	7
10	Event #011	2	Worse	1	4
10	Event #014	2	Observer	1	5
10	Event #015	2	Remember	2	7
10	Event #016	2	Worse	2	6
10	Event #017	2	Better	2	6
10	Event #019	2	Remember	1	6
10	Event #021	2	Remember	1	4
10	Event #022	2	Worse	3	6
10	Event #025	2	Remember	2	7
10	Event #026	2	Remember	3	7
10	Event #027	2	Remember	1	
10	Event #028	2	Better	2	6
10	Event #029	2	Remember	3	6
10	Event #030	2	Worse	2	4
10	Event #031	2	Remember	2	5
10	Event #032	2	Worse		5
10	Event #033	2	Better	2	4
10	Event #034	2	Worse	2	3
10	Event #035	2	Worse	2	6
10	Event #037	2	Remember	5	7
10	Event #038	2	Better		1
10	Event #040	2	Worse	1	6
10	Event #041	2	Better	2	6
10	Event #042	2	Better	2	6
10	Event #043	2	Remember	2	6
10	Event #044	2	Remember	3	7
10	Event #045	2	Worse	2	6
10	Event #046	2	Observer	1	5
10	Event #047	2	Observer	1	6
10	Event #048	2	Observer	1	6
10	Event #049	2	Remember	2	5
10	Event #050	2	Remember	1	5
10	Event #051	2	Better	1	5
10	Event #052	2	Remember	2	7
10	Event #053	2	Remember	2	7
10	Event #054	2	Worse	2	7
10	Event #055	2	Worse	2	6
10	Event #056	2	Observer	3	5
10	Event #058	2	Better	2	6
10	Event #059	2	Observer	2	7
10	Event #060	2	Better		5
10	Event #061	2	Remember	1	6
10	Event #062	2	Better	2	6
10	Event #063	2	Observer	1	5
10	Event #064	2	Remember	1	3
10	Event #067	2	Observer	2	6
10	Event #068	2	Worse	2	5
10	Event #069	2	Worse	2	5
10	Event #070	2	Better	2	5
10	Event #072	2	Better	1	7
10	Event #073	2	Remember	3	7
10	Event #074	2	Better	1	4
10	Event #076	2	Better	2	6
10	Event #077	2	Better	2	5
10	Event #078	2	Better	2	6
10	Event #079	2	Observer	2	6
10	Event #080	2	Observer	1	5
10	Event #081	2	Better	1	4
10	Event #083	2	Observer	1	5
10	Event #084	2	Observer	2	5
10	Event #086	2	Better	1	7
10	Event #087	2	Remember	1	2
10	Event #088	2	Remember	3	6
10	Event #089	2	Better	2	6
10	Event #090	2	Observer	2	6
10	Event #091	2	Worse	5	5
10	Event #092	2	Worse	3	4
10	Event #093	2	Observer	2	4
10	Event #094	2	Remember	1	4
10	Event #096	2	Worse	1	4
10	Event #097	2	Observer		6
10	Event #098	2	Observer	3	6
10	Event #099	2	Worse	3	5
10	Event #100	2	Better	1	5
10	Event #101	2	Worse	1	5
10	Event #102	2	Remember	1	4
10	Event #103	2	Better	1	5
10	Event #104	2	Observer	3	5
10	Event #105	2	Worse	2	6
10	Event #106	2	Observer	1	5
10	Event #107	2	Better	1	3
10	Event #108	2	Observer	3	7
10	Event #109	2	Remember	1	5
10	Event #110	2	Remember	2	7
10	Event #111	2	Observer	3	6
10	Event #112	2	Worse	1	3
10	Event #113	2	Better	2	4
10	Event #115	2	Worse	2	4
10	Event #117	2	Observer	1	3
